Country,Jan.,Feb.,Mar.,april,May,June,July,aug.,Sept.,oct.,Nov.,Dec.
Sri Lanka,432,6995,9762,1046,37,129,838,12516,5544,5205,4473,530
Myanmar,3312,4872,6292,2363,53,23,41,15,31,3302,6012,4475
Thailand,3531,6208,4668,746,237,229,301,165,232,2359,5028,4660
China,1935,2619,2326,1821,1442,905,1039,721,987,1728,2867,2879
Vietnam,266,1033,1079,238,70,160,150,36,546,1709,2130,928
S. Korea,1548,867,1086,112,94,80,59,84,119,708,674,714
Germany,142,347,518,384,260,75,74,90,165,554,530,167
Taiwan,351,430,320,113,34,11,89,38,81,223,468,465
Japan,308,447,241,121,71,21,27,107,86,164,200,263
U.S.A.,189,210,340,161,94,138,57,39,76,252,340,151
France,129,153,259,283,77,47,75,121,79,310,359,125
Malaysia,73,145,244,99,94,43,23,13,46,132,506,567
Netherlands,100,120,498,141,40,15,49,171,69,299,195,118
U.K.,114,94,280,192,71,86,94,123,141,203,302,90
Australia,228,170,202,111,120,24,62,39,49,246,150,157
Indonesia,69,200,102,30,6,91,84,21,60,58,529,170
Singapore,10,21,198,16,16,36,8,6,21,95,325,357
Italy,62,52,98,59,27,10,22,129,33,156,169,130
Bhutan,386,31,9,27,33,71,8,3,,19,43,316
Cambodia,35,302,80,23,6,4,1,,6,68,384,
Spain,32,31,62,53,25,23,102,178,52,98,109,68
Canada,51,68,62,54,30,6,42,3,16,73,92,38
Russia,47,54,32,45,46,11,9,7,15,86,73,60
Belgium,14,28,49,67,15,5,16,7,9,68,162,27
Poland,3,23,31,15,23,2,1,29,7,56,83,27
Switzerland,8,15,19,30,18,14,7,2,33,39,43,23
Hong Kong,10,5,30,8,6,12,24,1,8,8,98,36
Austria,17,33,41,7,2,3,3,3,9,29,22,19
Norway,10,28,23,18,4,3,5,8,2,36,27,3
Denmark,6,19,40,17,12,,1,1,10,26,21,4
Newzeland,20,6,25,21,3,5,3,3,15,23,22,10
Brazil,30,12,13,8,8,7,,2,6,6,30,12
Laos,,,,1,,8,,,,16,35,58
Hungary,4,13,20,6,3,2,2,,,45,8,2
Portugal,24,8,17,9,4,6,2,,6,6,13,9
Chile,2,15,6,13,17,8,10,1,15,1,8,5
Other,121,194,328,192,130,77,48,56,53,171,242,175
